timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1668584327793,8,/node_modules/lodash/lodash.min.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,71018,286,15,15,https://goodt-pochta-loadqa.goodt.me/node_modules/lodash/lodash.min.js,7,0,0
1668584327801,5,/jspm_packages/github/ansman/validate.js@0.11.1/validate.js,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,35532,311,15,15,https://goodt-pochta-loadqa.goodt.me/jspm_packages/github/ansman/validate.js@0.11.1/validate.js,5,0,0
1668584327806,3,/locales/ru-RUSSIANPOST/translation.json,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,2121,253,15,15,https://goodt-pochta-loadqa.goodt.me/,3,0,0
1668584327810,5,/images/lego-avatars/6.jpg,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,bin,true,,33709,278,15,15,https://goodt-pochta-loadqa.goodt.me/images/lego-avatars/6.jpg,4,0,0
1668584327815,3,/images/lego-avatars/2.jpg,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,bin,true,,21154,278,15,15,https://goodt-pochta-loadqa.goodt.me/images/lego-avatars/2.jpg,3,0,0
1668584323844,3976,Эмплое-позишены для оргюнита,200,,parallel 1 stack,text,true,,74316,353,2,15,https://goodt-pochta-loadqa.goodt.me/api/v1/org-units/146/employee-positions?from=2022-09-01&to=2022-09-30&include-chief=true&size=100000,3974,0,32
1668584327819,3,/images/lego-avatars/4.jpg,200,OK,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,bin,true,,20672,278,15,15,https://goodt-pochta-loadqa.goodt.me/images/lego-avatars/4.jpg,3,0,0
1668584327331,484,JS front,200,"Number of samples in transaction : 37, number of failing samples : 0",от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,,true,,8765059,8369,15,15,null,266,7,0
1668584327309,505,Запрос на фронт расписание,200,"Number of samples in transaction : 38, number of failing samples : 0",от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,,true,,8767180,8567,15,15,null,287,8,18
1668584327822,19,Запрос в апи 1.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,37260,259,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1,19,0,0
1668584327841,15,Инфо о профиле 1.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,681,294,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/profile/info/1?size=1000&size=1000,15,0,0
1668584327856,12,Инфо о профиле 2.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,517,288,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/profile/info/1?size=1000,12,0,0
1668584327868,8,measure-units.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,484,273,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/measure-units,8,0,0
1668584327876,22,Премишшены.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,85610,291,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/permissions?size=1000&size=1000,21,0,0
1668584327899,15,Системные настройки,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,114417,283,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/system-properties/front,14,0,0
1668584327914,13,Группы позиций.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,7239,299,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/position-groups?size=100000&size=100000,13,0,0
1668584327927,9,Типы событий 2.,200,,от 11/11 Рабочий просмотра расписания - перегиб-ThreadStarter 1-15,text,true,,671,313,15,15,https://goodt-pochta-loadqa.goodt.me/api/v1/organization-unit-event-types?size=100000&size=100000,9,0,0
