omId,employeeId
5278,936296
85492,1147036
85492,1241996
85492,1179375
85492,1179921
85492,1200524
85492,1240033
79396,720285
77164,1048765
77164,691699
77151,1228919
77151,1336045
77151,1285060
74583,941847
74583,969604
74583,1320152
74583,1040728
74583,981478
74583,1137590
79935,1164404
79935,1196497
79935,1309292
79935,1174871
79935,1178479
79935,1285533
79935,1211183
79935,1211221
56208,1000139
56208,1187016
56208,903156
56208,909009
56208,1224598
56208,1319288
83773,1311404
79901,1277975
79901,1294837
79901,1278583
79901,1268298
79901,1128368
79901,1146898
76479,1190667
76479,1326887
76479,1247673
76479,1305591
76479,1249105
84243,1314911
85022,1345003
85022,1259761
85022,1262908
85022,1269036
79632,737890
79632,804616
79632,1191381
79632,1047503
79632,1335668
79632,741791
79632,1229067
79632,1307172
77549,1105230
77549,1149921
85166,954915
79174,1048752
79174,1319821
79174,1319808
79174,1074146
79174,1166272
79174,1188268
77257,1165341
77257,1159560
77257,1321135
77257,1348183
77257,978138
77257,1322298
77257,1165384
77257,1249230
77257,1193151
77257,1173816
77257,1252636
46342,968137
46342,977533
46342,977548
46342,1285062
46342,1023646
46342,984624
46342,1032464
46342,980877
83025,1070597
83025,1186998
83025,1098800
83025,1308096
83025,1025374
76855,1002503
76855,982612
76855,1254462
76855,1024092
76855,1121108
76855,984039
76855,1033807
77448,1043012
77448,1007747
77448,999707
77448,1022529
77448,1212640
77448,1316099
82460,1052342
82460,1295342
82460,1322233
82460,1273534
82460,1273126
82460,1273406
82460,1306743
82460,1075865
81422,1230277
81422,1141976
81422,1304681
81422,1245431
81422,1295536
81422,1341201
85079,1344781
85079,1345038
82580,1232753
82580,1250832
82580,1233048
82580,1233072
82580,1291819
82580,1251328
82580,1232677
74658,1005163
74658,1154337
74658,1173140
74658,1163872
74658,1270549
83901,1174832
83901,1174807
83901,1213375
83901,1174931
83901,1174588
83901,1175305
76008,973030
76008,1303466
76008,973100
76008,1299919
76008,973087
69682,966970
69682,1021025
69682,966651
69682,989648
74577,1054980
74577,1284835
74577,1295560
74577,1236014
74577,1121715
76681,1074560
76681,1095925
76681,1161688
76681,1144755
76681,1202255
76681,1141809
76681,1212889
76681,1141794
76681,1073938
76681,1069328
76681,1173715
76681,1262894
76681,1204701
76681,1103696
48097,1134086
48097,1164204
48097,1181226
48097,1216172
48097,1212612
34937,845576
34937,804026
34937,798069
86814,1323074
86814,1322339
86814,1340898
86814,1323195
86814,1363486
86814,1328857
84589,1183866
84589,1299970
84589,1179964
84589,1224719
84589,1226305
84589,1294759
82159,1218315
74902,1096739
74902,1324176
74902,1195030
